check_date,shift,vehicle_no,vehicle,driver_name,licence_no,licence_valid_until,checked_by,remarks,submitted_at,id,1. कागजात / Documents,2. फायर एक्सटीन्गुइशेर / Fire Extinguisher,3. फर्स्ट ऐड बॉक्स / First Aid Box,4. दरवाजा / Door,5. हैंड लाइट / Hand Light,6. हॉर्न / Horn,7. ब्रेक / Brake,8. रियर व्यू मिरर / Rear View Mirror,9. वाइपर / Wiper,10. सीट बेल्ट / Seat Belt,11. फुट ब्रेक / Foot Brake,12. हैण्ड ब्रेक / Hand Brake,13. सेल्फ स्टार्टर / Self Starter,14. वाडी लाइट / Body Light,15. साइड इंडिकेटर / Side Indicator,16. ब्रेक लाइट / Brake Light,17. बैक हॉर्न / Reverse Horn,18. बैक लाइट / Reverse Light,19. टायर कंडीशन / Tyre Condition,20. स्टेपनी / Spare Tyre,21. टार्च / Torch,22. रिप्लेक्टर / Reflector,23. अन्य / Other,issues
2026-09-12,A,CG-00-0000,Ambulance,Ramesh Verma,CG04-2019-0012,2028-03-31,,Reported to workshop,2026-09-21T17:10:49.756Z,991d2d01-29e0-4d75-b30a-72ea5b8526e0,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,Tyre Condition: Rear left tyre worn
2026-09-16,B,CG-00-0000,Ambulance,Ramesh Verma,CG04-2019-0012,2028-03-31,,,2026-09-21T17:11:12.590Z,e7d2633d-0313-402c-bbfb-0fff4802403b,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
2026-09-17,A,CG-00-0000,Ambulance,Suresh Yadav,CG04-2021-7788,2028-03-31,,Reported to workshop,2026-09-21T17:11:14.638Z,5395674f-c6c2-49e9-8b68-e9d82e8484d5,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,Torch: Torch battery dead
2026-09-17,B,CG-00-0000,Ambulance,Mohan Lal,CG04-2018-5521,2028-03-31,,,2026-09-21T17:11:16.787Z,e1737113-ded6-4b0b-85a0-3028d18f9640,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
2026-09-17,C,CG-00-0000,Ambulance,Ramesh Verma,CG04-2019-0012,2028-03-31,,,2026-09-21T17:11:18.849Z,61ad3ccf-0a59-424b-b165-be46793bdf62,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
2026-09-18,A,CG-00-0000,Ambulance,Ramesh Verma,CG04-2019-0012,2028-03-31,,Reported to workshop,2026-09-21T17:11:20.886Z,91f8149c-35f5-4c89-b90a-2aa4cfa50e5f,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,Tyre Condition: Rear left tyre worn
2026-09-18,C,CG-00-0000,Ambulance,Mohan Lal,CG04-2018-5521,2028-03-31,,,2026-09-21T17:11:22.933Z,550c4cdc-ee96-4939-931d-3f993c074e33,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
2026-09-19,A,CG-00-0000,Ambulance,Mohan Lal,CG04-2018-5521,2028-03-31,,Reported to workshop,2026-09-21T17:11:24.978Z,dfcbca2a-fb18-4a9c-a758-f1c896875b69,✓,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,Door: Door latch loose
2026-09-19,B,CG-00-0000,Ambulance,Ramesh Verma,CG04-2019-0012,2028-03-31,,,2026-09-21T17:11:27.537Z,22efb3db-efb0-44e6-86f7-bb3ce4dd8de9,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
2026-09-19,C,CG-00-0000,Ambulance,Suresh Yadav,CG04-2021-7788,2028-03-31,,,2026-09-21T17:11:29.588Z,c5978e6f-d101-4916-ab8c-107dbb218775,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
2026-09-20,A,CG-00-0000,Ambulance,Suresh Yadav,CG04-2021-7788,2028-03-31,,Reported to workshop,2026-09-21T17:11:31.737Z,6590a83c-3db7-48ba-8a9d-3c1eec3cc451,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✗,✓,✓,Tyre Condition: Rear left tyre worn | Torch: Torch battery dead
2026-09-20,B,CG-00-0000,Ambulance,Mohan Lal,CG04-2018-5521,2028-03-31,,,2026-09-21T17:11:33.678Z,1d52a6e8-2b8e-4e8b-a009-81a87a7d1665,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
2026-09-21,A,CG-00-0000,Ambulance,Ramesh Verma,CG04-2019-0012,2028-03-31,,Reported to workshop,2026-09-21T17:11:35.764Z,0ed67572-7646-4110-933b-37d27a420922,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗,✓,✓,✓,✓,Tyre Condition: Rear left tyre worn
2026-09-21,B,CG-00-0000,Ambulance,Suresh Yadav,CG04-2021-7788,2028-03-31,,,2026-09-21T17:11:37.883Z,4bee825f-f8b7-4ea1-935c-ba9f1c469b01,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
2026-09-22,A,CG-00-0000,Ambulance,uiui,,,,optional,2026-09-22T11:41:49.807Z,cbea0998-28d2-43ec-b886-f8d099036d01,✗,✓,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,Documents: yes problem | Door: not working
